delta,lam,ell,a,m_det,class,margin
8,11|6|6|3|3|3,6,0,-1,a0,
8,11|6|5|5|4|1,6,8,23849,silent,23841
8,11|6|5|5|3|2,6,9,44038,silent,44029
8,11|6|5|4|4|2,6,17,41014,silent,40997
8,11|6|5|4|3|3,6,6,39183,silent,39177
8,11|6|4|4|4|3,6,8,15671,silent,15663
8,11|5|5|5|5|1,6,1,3011,silent,3010
8,11|5|5|5|4|2,6,1,12691,silent,12690
8,11|5|5|5|3|3,6,2,10290,silent,10288
8,11|5|5|4|4|3,6,3,12482,silent,12479
8,11|5|4|4|4|4,6,2,2845,silent,2843
8,10|10|9|1|1|1,6,0,-1,a0,
8,10|10|8|2|1|1,6,5,2317,silent,2312
8,10|10|7|3|1|1,6,18,7578,silent,7560
8,10|10|7|2|2|1,6,15,6654,silent,6639
8,10|10|6|4|1|1,6,15,10909,silent,10894
8,10|10|6|3|2|1,6,29,20509,silent,20480
8,10|10|6|2|2|2,6,16,7256,silent,7240
8,10|10|5|5|1|1,6,13,5809,silent,5796
8,10|10|5|4|2|1,6,30,22583,silent,22553
8,10|10|5|3|3|1,6,13,16433,silent,16420
8,10|10|5|3|2|2,6,11,17344,silent,17333
8,10|10|4|4|3|1,6,9,12077,silent,12068
8,10|10|4|4|2|2,6,16,11149,silent,11133
8,10|10|4|3|3|2,6,2,12041,silent,12039
8,10|10|3|3|3|3,6,1,2044,silent,2043
8,10|9|9|2|1|1,6,6,1502,silent,1496
8,10|9|8|3|1|1,6,17,8212,silent,8195
8,10|9|8|2|2|1,6,15,7127,silent,7112
8,10|9|7|4|1|1,6,34,18431,silent,18397
8,10|9|7|3|2|1,6,41,32531,silent,32490
8,10|9|7|2|2|2,6,10,10731,silent,10721
8,10|9|6|5|1|1,6,25,17807,silent,17782
8,10|9|6|4|2|1,6,61,55273,silent,55212
8,10|9|6|3|3|1,6,26,37421,silent,37395
8,10|9|6|3|2|2,6,27,39105,silent,39078
8,10|9|5|5|2|1,6,27,29792,silent,29765
8,10|9|5|4|3|1,6,39,54117,silent,54078
8,10|9|5|4|2|2,6,27,46069,silent,46042
8,10|9|5|3|3|2,6,14,42286,silent,42272
8,10|9|4|4|4|1,6,13,13188,silent,13175
8,10|9|4|4|3|2,6,15,33022,silent,33007
8,10|9|4|3|3|3,6,1,13463,silent,13462
8,10|8|8|4|1|1,6,11,9069,silent,9058
8,10|8|8|3|2|1,6,21,16305,silent,16284
8,10|8|8|2|2|2,6,11,5685,silent,5674
8,10|8|7|5|1|1,6,29,18426,silent,18397
8,10|8|7|4|2|1,6,53,52614,silent,52561
8,10|8|7|3|3|1,6,25,34661,silent,34636
8,10|8|7|3|2|2,6,21,35840,silent,35819
8,10|8|6|6|1|1,6,7,9908,silent,9901
8,10|8|6|5|2|1,6,49,58394,silent,58345
8,10|8|6|4|3|1,6,52,83886,silent,83834
