delta,lam,ell,a,m_det,class,margin
12,29|4|3|2|2|2|2|2|1|1,10,0,-1,a0,
12,29|4|2|2|2|2|2|2|2|1,10,1,317,silent,316
12,29|3|3|3|3|3|1|1|1|1,10,0,-1,a0,
12,29|3|3|3|3|2|2|1|1|1,10,0,-1,a0,
12,29|3|3|3|2|2|2|2|1|1,10,0,-1,a0,
12,29|3|3|2|2|2|2|2|2|1,10,0,-1,a0,
12,29|3|2|2|2|2|2|2|2|2,10,1,52,silent,51
12,28|12|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|11|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|10|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|10|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,28|9|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|9|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,28|9|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,28|8|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|8|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,28|8|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,28|8|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,28|8|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,28|7|6|1|1|1|1|1|1|1,10,0,-1,a0,
12,28|7|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,28|7|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,28|7|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,28|7|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,28|7|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,28|7|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,28|6|6|2|1|1|1|1|1|1,10,0,-1,a0,
12,28|6|5|3|1|1|1|1|1|1,10,0,-1,a0,
12,28|6|5|2|2|1|1|1|1|1,10,0,-1,a0,
12,28|6|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,28|6|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,28|6|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,28|6|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,28|6|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,28|6|3|2|2|2|2|1|1|1,10,0,-1,a0,
12,28|6|2|2|2|2|2|2|1|1,10,0,-1,a0,
12,28|5|5|4|1|1|1|1|1|1,10,0,-1,a0,
12,28|5|5|3|2|1|1|1|1|1,10,0,-1,a0,
12,28|5|5|2|2|2|1|1|1|1,10,0,-1,a0,
12,28|5|4|4|2|1|1|1|1|1,10,0,-1,a0,
12,28|5|4|3|3|1|1|1|1|1,10,0,-1,a0,
12,28|5|4|3|2|2|1|1|1|1,10,0,-1,a0,
12,28|5|4|2|2|2|2|1|1|1,10,0,-1,a0,
12,28|5|3|3|3|2|1|1|1|1,10,0,-1,a0,
12,28|5|3|3|2|2|2|1|1|1,10,0,-1,a0,
12,28|5|3|2|2|2|2|2|1|1,10,1,6183,silent,6182
12,28|5|2|2|2|2|2|2|2|1,10,2,851,silent,849
12,28|4|4|4|3|1|1|1|1|1,10,0,-1,a0,
12,28|4|4|4|2|2|1|1|1|1,10,0,-1,a0,
12,28|4|4|3|3|2|1|1|1|1,10,0,-1,a0,
12,28|4|4|3|2|2|2|1|1|1,10,0,-1,a0,
