delta,lam,ell,a,m_det,class,margin
10,18|14|3|1|1|1|1|1,8,0,-1,a0,
10,18|14|2|2|1|1|1|1,8,0,-1,a0,
10,18|13|4|1|1|1|1|1,8,0,-1,a0,
10,18|13|3|2|1|1|1|1,8,0,-1,a0,
10,18|13|2|2|2|1|1|1,8,0,-1,a0,
10,18|12|5|1|1|1|1|1,8,0,-1,a0,
10,18|12|4|2|1|1|1|1,8,2,37506,silent,37504
10,18|12|3|3|1|1|1|1,8,2,23300,silent,23298
10,18|12|3|2|2|1|1|1,8,7,31620,silent,31613
10,18|12|2|2|2|2|1|1,8,4,8137,silent,8133
10,18|11|6|1|1|1|1|1,8,1,22651,silent,22650
10,18|11|5|2|1|1|1|1,8,7,80383,silent,80376
10,18|11|4|3|1|1|1|1,8,10,94348,silent,94338
10,18|11|4|2|2|1|1|1,8,19,101528,silent,101509
10,18|11|3|3|2|1|1|1,8,20,80821,silent,80801
10,18|11|3|2|2|2|1|1,8,27,53110,silent,53083
10,18|11|2|2|2|2|2|1,8,15,9306,silent,9291
10,18|10|7|1|1|1|1|1,8,1,25620,silent,25619
10,18|10|6|2|1|1|1|1,8,14,118971,silent,118957
10,18|10|5|3|1|1|1|1,8,27,202532,silent,202505
10,18|10|5|2|2|1|1|1,8,43,203214,silent,203171
10,18|10|4|4|1|1|1|1,8,12,110493,silent,110481
10,18|10|4|3|2|1|1|1,8,54,308723,silent,308669
10,18|10|4|2|2|2|1|1,8,55,158729,silent,158674
10,18|10|3|3|3|1|1|1,8,15,88548,silent,88533
10,18|10|3|3|2|2|1|1,8,41,138345,silent,138304
10,18|10|3|2|2|2|2|1,8,38,54888,silent,54850
