delta,lam,ell,a,m_det,class,margin
10,19|15|3|1|1|1,6,2,821,silent,819
10,19|15|2|2|1|1,6,7,669,silent,662
10,19|14|4|1|1|1,6,11,2483,silent,2472
10,19|14|3|2|1|1,6,31,4206,silent,4175
10,19|14|2|2|2|1,6,25,1640,silent,1615
10,19|13|5|1|1|1,6,30,5863,silent,5833
10,19|13|4|2|1|1,6,93,14071,silent,13978
10,19|13|3|3|1|1,6,42,8806,silent,8764
10,19|13|3|2|2|1,6,88,10382,silent,10294
10,19|13|2|2|2|2,6,29,2097,silent,2068
10,19|12|6|1|1|1,6,46,9945,silent,9899
10,19|12|5|2|1|1,6,180,32237,silent,32057
10,19|12|4|3|1|1,6,164,35869,silent,35705
10,19|12|4|2|2|1,6,219,34682,silent,34463
10,19|12|3|3|2|1,6,101,26234,silent,26133
10,19|12|3|2|2|2,6,85,12504,silent,12419
10,19|11|7|1|1|1,6,62,12981,silent,12919
10,19|11|6|2|1|1,6,253,52213,silent,51960
10,19|11|5|3|1|1,6,333,83890,silent,83557
10,19|11|5|2|2|1,6,357,74344,silent,73987
10,19|11|4|4|1|1,6,176,43332,silent,43156
10,19|11|4|3|2|1,6,371,106588,silent,106217
10,19|11|4|2|2|2,6,186,39660,silent,39474
10,19|11|3|3|3|1,6,41,28267,silent,28226
10,19|11|3|3|2|2,6,78,31615,silent,31537
10,19|10|8|1|1|1,6,46,11187,silent,11141
10,19|10|7|2|1|1,6,260,59451,silent,59191
10,19|10|6|3|1|1,6,427,126468,silent,126041
10,19|10|6|2|2|1,6,447,109392,silent,108945
10,19|10|5|4|1|1,6,390,120048,silent,119658
10,19|10|5|3|2|1,6,649,229371,silent,228722
10,19|10|5|2|2|2,6,269,77537,silent,77268
10,19|10|4|4|2|1,6,391,131265,silent,130874
10,19|10|4|3|3|1,6,196,114798,silent,114602
10,19|10|4|3|2|2,6,278,122266,silent,121988
10,19|10|3|3|3|2,6,26,41169,silent,41143
10,19|9|9|1|1|1,6,23,4731,silent,4708
10,19|9|8|2|1|1,6,166,40623,silent,40457
